query	engine	partitions	threads	batch_size	neworder_dist	payment_dist	n_district	average_commit
mixed	ariaer_cache_fix_v2	12	12	1000	10	15	10	83997.9
mixed	ariaer_cache_fix_v2	12	12	500	10	15	10	171418
neworder	ariaer_cache_fix_v2	12	12	1000	10	15	10	83941.2
neworder	ariaer_cache_fix_v2	12	12	500	10	15	10	179369
payment	ariaer_cache_fix_v2	12	12	1000	10	15	10	49014.6
payment	ariaer_cache_fix_v2	12	12	500	10	15	10	92481.4
mixed	ariaer_cache_fix_v2	1	12	1000	10	15	10	9689.9
mixed	ariaer_cache_fix_v2	1	12	500	10	15	10	19550.8
neworder	ariaer_cache_fix_v2	1	12	1000	10	15	10	10344.8
neworder	ariaer_cache_fix_v2	1	12	500	10	15	10	21626.8
payment	ariaer_cache_fix_v2	1	12	1000	10	15	10	990.8
payment	ariaer_cache_fix_v2	1	12	500	10	15	10	1965.3
mixed	ariaer_cache_fix_v2	4	12	1000	10	15	10	32540.1
mixed	ariaer_cache_fix_v2	4	12	500	10	15	10	66706.2
neworder	ariaer_cache_fix_v2	4	12	1000	10	15	10	33470.1
neworder	ariaer_cache_fix_v2	4	12	500	10	15	10	71659.4
payment	ariaer_cache_fix_v2	4	12	1000	10	15	10	16879.4
payment	ariaer_cache_fix_v2	4	12	500	10	15	10	31379.2
mixed	ariaer_cache_fix_v2	8	12	1000	10	15	10	59411.3
mixed	ariaer_cache_fix_v2	8	12	500	10	15	10	121512
neworder	ariaer_cache_fix_v2	8	12	1000	10	15	10	59803.2
neworder	ariaer_cache_fix_v2	8	12	500	10	15	10	129387
payment	ariaer_cache_fix_v2	8	12	1000	10	15	10	33430.9
payment	ariaer_cache_fix_v2	8	12	500	10	15	10	61506.5
mixed	aria	12	12	1000	10	15	10	81290.6
mixed	aria	12	12	500	10	15	10	167312
neworder	aria	12	12	1000	10	15	10	81014.2
neworder	aria	12	12	500	10	15	10	174015
payment	aria	12	12	1000	10	15	10	46811.5
payment	aria	12	12	500	10	15	10	88049.5
mixed	aria	1	12	1000	10	15	10	9087.8
mixed	aria	1	12	500	10	15	10	18511
neworder	aria	1	12	1000	10	15	10	9607.3
neworder	aria	1	12	500	10	15	10	20267
payment	aria	1	12	1000	10	15	10	989.4
payment	aria	1	12	500	10	15	10	2039.8
mixed	aria	4	12	1000	10	15	10	31103.2
mixed	aria	4	12	500	10	15	10	63808.9
neworder	aria	4	12	1000	10	15	10	31710.4
neworder	aria	4	12	500	10	15	10	68915.7
payment	aria	4	12	1000	10	15	10	16341.6
payment	aria	4	12	500	10	15	10	30445.1
mixed	aria	8	12	1000	10	15	10	57062.5
mixed	aria	8	12	500	10	15	10	118210
neworder	aria	8	12	1000	10	15	10	57142.1
neworder	aria	8	12	500	10	15	10	124279
payment	aria	8	12	1000	10	15	10	31972.9
payment	aria	8	12	500	10	15	10	60361.6
